Date of Application,Legal Name,Trade Name 2,App NO,Registration Number,Type of PIBO,Application Status
2022-08-25T12:11:00,Sahyadri Farms Post Harvest Care Limited,Sahyadri Farms Post Harvest Care Limited,4738,20220825064738,Brand Owner,In Progress
2022-08-26T17:01:51,VIJAY SOLVEX LTD,VIJAY SOLVEX LTD,4714,20220826064714,Brand Owner,In Progress
2022-09-01T12:36:11,PALLAVI PLASTICS PVT LTD,BLUE SAPPHIRE,5299,20220901065299,Brand Owner,In Progress
2022-08-25T14:51:28,IRIS Transportation services private limited,IRIS Transportation services private limited,4887,20220825064887,Brand Owner,In Progress
2022-08-25T11:47:34,SUJAY IRRIGATIONS PRIVATE LIMITED,SUJAY IRRIGATIONS PRIVATE LIMITED,4895,20220825064895,Brand Owner,In Progress
2022-08-26T17:36:30,CUMMINS INDIA LIMITED,CUMMINS INDIA LIMITED,4901,20220826064901,Brand Owner,In Progress
2022-08-29T09:52:27,HAWKINS COOKERS LIMITED,HAWKINS COOKERS LIMITED,6866,20220829066866,Brand Owner,In Progress
2022-08-29T16:26:06,Indore Sahakari Dudgha Sangh Mydt. Indore,Sanchi,5146,20220829065146,Brand Owner,In Progress
2022-08-30T16:58:04,Healthium Medtech Limited,Healthium Medtech Limited,5230,20220830065230,Brand Owner,In Progress
2022-09-02T16:40:10,Demo User,Demo,5356,20220902065356,Brand Owner,In Progress
2022-09-07T01:03:22,sds,jjknkjnkj,5534,20220907065534,Brand Owner,In Progress
2022-09-13T21:52:37,test,test,6998,20220913066998,Brand Owner,In Progress
2022-09-15T11:32:34,BOLAS AGRO PRIVATE LIMITED,BOLAS AGRO PRIVATE LIMITED,7129,20220915067129,Brand Owner,In Progress
2022-09-15T15:47:27,APEX BEVERAGES INC,SIPERB,7195,20220915067195,Brand Owner,In Progress
2022-10-07T13:51:23,Pushp Brand (INDIA) Pvt Ltd,Pushp Spices,544800881,2022100706544800881,Brand Owner,In Progress
2022-11-08T18:24:31,NAYASA WORLD,NAYASA WORLD,544802208,2022110806544802208,Brand Owner,In Progress
2022-11-09T11:05:30,PREM GREEN PRIVATE LIMITED,PREM GREEN PRIVATE LIMITED,544802223,2022110906544802223,Brand Owner,In Progress
2022-11-15T12:52:29,KURLON ENTERPRISE LIMITED,KULRON,544802537,2022111506544802537,Brand Owner,In Progress
2022-12-10T12:39:00,GLL INDUSTRIES,STEELBIRD,544803408,2022121006544803408,Brand Owner,In Progress
2022-12-20T15:17:42,BANSAL EXTRACTION AND EXPORTS PRIVATE LIMITED,Manufacturing of refined soya bean edible oil and soya doc,544803964,2022122006544803964,Brand Owner,In Progress
2022-12-22T15:57:37,VIN LAMINATES,VIN LAMINATES,544804082,2022122206544804082,Brand Owner,In Progress
2022-12-23T10:48:37,CPCB_TEST_7,CPCB_TEST_7,544804102,2022122306544804102,Brand Owner,In Progress
2023-01-05T15:28:07,SUPER MOULDINGS,SUPER MOULDINGS,544804861,2023010506544804861,Brand Owner,In Progress
2023-01-06T14:59:24,LBO Company,Lavanya Enterprises,544804911,2023010606544804911,Brand Owner,In Progress
2023-01-06T15:12:18,UAT Brand Owner 2,UAT Brand Owner 2,544804912,2023010606544804912,Brand Owner,In Progress
2023-01-10T14:47:45,SHIVA POLYTUBES PRIVATE LIMITED,SHIVA,544805126,2023011006544805126,Brand Owner,In Progress
2023-01-10T15:29:29,MAHAVIR PLASTIC INDUSTRIES - UNIT II,Caps & closures,544805655,2023011006544805655,Brand Owner,In Progress
2023-01-18T15:07:03,DIPLAST PLASTICS LIMITED,DIPLAST,544814812,2023011806544814812,Brand Owner,In Progress
2023-01-18T15:18:11,CHEMVIN INDUSTRIES,DIPLAST,544806158,2023011806544806158,Brand Owner,In Progress
2023-01-25T16:33:06,MSM RETAIL PRIVATE LIMITED,MSM RETAIL PRIVATE LIMITED,544806051,2023012506544806051,Brand Owner,In Progress
2023-02-07T13:10:40,COMED CHEMICALS LIMITED,Comed Chemicals Ltd,544806554,2023020706544806554,Brand Owner,In Progress
2023-02-17T11:35:14,CHETAK TECHNOLOGY LIMITED,Chetak Technology Ltd,544807798,2023021706544807798,Brand Owner,In Progress
2023-02-21T11:57:14,KAVERI PIPES,KAVERI PIPES,544808295,2023022106544808295,Brand Owner,In Progress
2023-02-23T11:04:22,CAPRIHANS INDIA LIMITED,Caprihans India Limited,544808675,2023022306544808675,Brand Owner,In Progress
