Date of Application,Legal Name,Trade Name 2,App NO,Registration Number,Type of PIBO,Application Status
2022-05-30T13:37:56,Pan Synthetics Private Limited,Pan Synthetics Private Limited,1049,20220530081049,Importer,In Progress
2022-05-06T12:03:15,VAISHNO INDUSTRIES PVT LTD,VAISHNO INDUSTRIES PVT LTD,532,2022050608532,Importer,In Progress
2022-05-06T14:34:43,AKHIL PAPER SALES,AKHIL PAPER SALES,537,2022050608537,Importer,In Progress
2022-05-12T12:46:05,SIXTY THREE DEGREE STATIONERS PVT LTD,SIXTY THREE DEGREE STATIONERS PVT LTD,651,2022051208651,Importer,In Progress
2022-05-09T11:09:26,GOVERDHAN ENERGY AND PETROCHEMICALS PRIVATE LIMITED,GOVERDHAN ENERGY AND PETROCHEMICALS PRIVATE LIMITED,580,2022050908580,Importer,In Progress
2022-05-08T18:05:01,S K AUTOMATION,S K AUTOMATION,577,2022050808577,Importer,In Progress
2022-06-09T10:52:24,COSMIC TRENDS PRIVATE LIMITED,COSMIC TRENDS PRIVATE LIMITED,590,2022060908590,Importer,In Progress
2022-05-11T10:59:22,DBL VENTURES PRIVATE LIMITED,DBL VENTURES PRIVATE LIMITED,616,2022051108616,Importer,In Progress
2022-05-10T15:12:57,HIMALIYAA TRADERS,HIMALIYAA TRADERS,603,2022051008603,Importer,In Progress
2022-06-18T17:17:35,Krishna polymers,Krishna polymers,1467,20220618081467,Importer,In Progress
2022-05-11T11:00:15,PARDHAN ENTERPRISES,PARDHAN ENTERPRISES,617,2022051108617,Importer,In Progress
2022-05-11T15:35:32,Sumax Engineering Pvt Ltd,Sumax Engineering Pvt Ltd,636,2022051108636,Importer,In Progress
2022-05-11T16:00:51,MARUTHI PLASTICS AND PACKAGING CHENNAI PVT LIMITED,MARUTHI PLASTICS AND PACKAGING CHENNAI PVT LIMITED,641,2022051108641,Importer,In Progress
2022-05-12T13:53:37,SHRI GOGA IMPEX,SHRI GOGA IMPEX,654,2022051208654,Importer,In Progress
2022-05-12T15:47:07,DELUXE RECYCLING INDIA PVT LTD,DELUXE RECYCLING INDIA PVT LTD,659,2022051208659,Importer,In Progress
2022-05-12T17:28:39,HEENA TRDERS,HEENA TRDERS,664,2022051208664,Importer,In Progress
2022-05-14T20:33:59,Shree Bala Ji Papers,Shree Bala Ji Papers,705,2022051408705,Importer,In Progress
2022-05-14T15:32:47,VIJAY BROS,VIJAY BROS,696,2022051408696,Importer,In Progress
2022-05-14T19:37:44,Sun Consultants and Engineers,Sun Consultants and Engineers,704,2022051408704,Importer,In Progress
2022-05-14T16:28:01,NATIONAL PLASTIC,NATIONAL PLASTIC,699,2022051408699,Importer,In Progress
2022-05-24T13:19:53,Synokem Pharmaceuticals Limited,Synokem Pharmaceuticals Limited,848,2022052408848,Importer,In Progress
2022-05-16T15:44:27,Universal Corporation Limited,Universal Corporation Limited,719,2022051608719,Importer,In Progress
2022-08-04T16:53:30,MAXIMA SOLUTIONS,MAXIMA SOLUTIONS,3432,20220804083432,Importer,In Progress
2022-05-20T11:37:56,FOURSIGHT IMPEX,FOURSIGHT IMPEX,734,2022052008734,Importer,In Progress
2022-06-03T14:16:22,TEST Importer,TEST Importer,757,2022060308757,Importer,In Progress
2022-06-23T12:12:36,Santosh Timber Trading Company Limited,Santosh Timber Trading Company Limited,1836,20220623081836,Importer,In Progress
2022-05-28T16:44:30,NK HEALTHCARE PRIVATE LIMITED,NK HEALTHCARE PRIVATE LIMITED,769,2022052808769,Importer,In Progress
2022-05-25T11:21:37,MEDI PLUS (INDIA) LIMITED,MEDI PLUS (INDIA) LIMITED,903,2022052508903,Importer,In Progress
2022-05-28T14:42:24,Santosh Timber Trading Company Limited,Santosh Timber Trading Company Limited,904,2022052808904,Importer,In Progress
2022-05-25T12:15:23,HONEY ADHESIVES AND DEXTRINS,HONEY ADHESIVES AND DEXTRINS,917,2022052508917,Importer,In Progress
2022-08-18T16:36:35,ALEPH INDUSTRIES (INDIA) PRIVATE LIMITED,ALEPH INDUSTRIES (INDIA) PRIVATE LIMITED,967,2022081808967,Importer,In Progress
2022-06-18T11:05:12,Test,Test,972,2022061808972,Importer,In Progress
2022-08-17T10:52:09,Saahas Zero Waste Private Limited,Saahas Zero Waste Private Limited,996,2022081708996,Importer,In Progress
2022-05-26T23:07:52,A R GLOBAL,A R GLOBAL,1004,20220526081004,Importer,In Progress
2022-05-27T11:48:55,Poonam Plastic Products,Poonam Plastic Products,1014,20220527081014,Importer,In Progress
2022-05-30T15:51:41,IMPORTER PVT LTD,IMPORTER PVT LTD,1092,20220530081092,Importer,In Progress
2022-06-03T15:54:04,Accredited Consultants Private Limited,Accredited Consultants Private Limited,1319,20220603081319,Importer,In Progress
2022-06-02T15:11:26,Creative Hub,Creative Hub,1147,20220602081147,Importer,In Progress
2022-06-03T19:24:45,Phoenix Contact India Private Limited,Phoenix Contact India Private Limited,1205,20220603081205,Importer,In Progress
2022-06-02T16:19:57,REMEX EXIM INTERNATIONAL PRIVATE LIMITED,REMEX EXIM INTERNATIONAL PRIVATE LIMITED,1209,20220602081209,Importer,In Progress
2022-06-02T15:48:13,LOBSTER OVERSEAS,LOBSTER OVERSEAS,1266,20220602081266,Importer,In Progress
2022-06-02T16:07:36,LOBSTER OVERSEAS,LOBSTER OVERSEAS,1272,20220602081272,Importer,In Progress
2022-06-22T13:43:57,VIRALCURRY DIGITAL PRIVATE LIMITED,VIRALCURRY DIGITAL PRIVATE LIMITED,1866,20220622081866,Importer,In Progress
2022-06-03T14:46:24,TEST CPCB,TEST CPCB,1313,20220603081313,Importer,In Progress
2022-07-13T12:39:36,TEST Importer,TEST Importer,1328,20220713081328,Importer,In Progress
2022-06-07T10:26:20,Kohinoor Foods Ltd,Kohinoor Foods Ltd,1422,20220607081422,Importer,In Progress
2022-06-06T16:24:01,R.G. MARKETING,R.G. MARKETING,1410,20220606081410,Importer,In Progress
2022-07-07T20:57:57,SHIV MOHAN CANVAS STORE,SHIV MOHAN CANVAS STORE,1453,20220707081453,Importer,In Progress
2022-06-27T18:42:03,LABDHI INDUSTRIES,LABDHI INDUSTRIES,2047,20220627082047,Importer,In Progress
2022-06-10T11:31:23,PRIME IMPEX,PRIME IMPEX,1530,20220610081530,Importer,In Progress
2022-06-16T17:54:57,DEVENDER KUMAR & SONS,DEVENDER KUMAR & SONS,1703,20220616081703,Importer,In Progress
2022-07-28T12:57:27,TANIKSHA INTERNATIONAL,TANIKSHA INTERNATIONAL,3494,20220728083494,Importer,In Progress
2022-06-13T11:46:13,ABC Waste Management Ltd.,ABC Waste Management Ltd.,1590,20220613081590,Importer,In Progress
